Starting Container
 INFO  Accepting connections at http://0.0.0.0:80
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 304 in 24 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/ClubsList-BZAs99_0.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 GET /assets/PageContent-D6x5wym0.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/DirectoryPage-Bl2NURD4.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/PageHeader-CP754XLU.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.7 GET /assets/SlotIcon-BYAJK9Pn.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.15 GET /assets/WorkflowStatusBadge-CMnWO3yk.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.7 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 304 in 18 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 GET /assets/permissions-BDfNhM4Q.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/OrganisationCreateModal-DLoyiQKx.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 GET /assets/DirectoryPremium-xOGb5P9w.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/FederationsList-Ci9L8Mcv.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/TeamsList-dASx7_0m.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.5 GET /assets/ProjectCreateModal-CeNy81Os.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/OrganisationCreateModal-Cm5DhM4U.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 GET /assets/design-system-CtoTmaeJ.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 GET /assets/OrganisationDetailModal-Dvf1By76.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.10 GET /assets/ClubsList-BxkrIg7x.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/ProjectEditModal-BVUYl2iQ.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.10 GET /assets/DirectoryTableShell-9_GIhFpl.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/design-system-BoeXyp_0.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/ProjectEditModal-b1VCcOZ0.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/ProjectCreateModal-1-dJKBOB.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/DirectoryPremium.module-CFLX-L3a.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/OrganisationDetailModal-BMpwySx5.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 GET /assets/MatchDetailModal-D0491XwP.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 Returned 304 in 32 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 GET /assets/MatchesList-OG4By35a.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 Returned 304 in 40 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 40 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 31 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 31 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 40 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.10 Returned 304 in 9 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 GET /assets/MatchEditModal-eyzDavMP.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 Returned 304 in 30 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.16 GET /assets/Card-Bn-DU7fp.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 36 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 31 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/index-D7SUfn3n.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 Returned 304 in 31 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 35 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 33 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/DirectoryPage-Dkd43BgQ.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/MatchDetailModal-0v_u_Uv_.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/MatchCreateModal-DjGSgVrX.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.5 Returned 304 in 30 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/UsersList-DgzIBuRD.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 30 ms
